Entity,Code,Year,"Employment to population ratio, 15+, female (%) (national estimate)"
Japan,JPN,1970,49.34
Japan,JPN,1971,48.25
Japan,JPN,1972,47.12
Japan,JPN,1973,47.63
Japan,JPN,1974,45.93
Japan,JPN,1975,44.96
Japan,JPN,1976,44.99
Japan,JPN,1977,45.81
Japan,JPN,1978,46.42
Japan,JPN,1979,46.67
Japan,JPN,1980,46.66
Japan,JPN,1981,46.66
Japan,JPN,1982,46.94
Japan,JPN,1983,47.68
Japan,JPN,1984,47.5
Japan,JPN,1985,47.38
Japan,JPN,1986,47.25
Japan,JPN,1987,47.25
Japan,JPN,1988,47.6
Japan,JPN,1989,48.32
Japan,JPN,1990,48.98
Japan,JPN,1991,49.53
Japan,JPN,1992,49.59
Japan,JPN,1993,49
Japan,JPN,1994,48.71
Japan,JPN,1995,48.39
Japan,JPN,1996,48.33
Japan,JPN,1997,48.62
Japan,JPN,1998,48.12
Japan,JPN,1999,47.41
Japan,JPN,2000,47.06
Japan,JPN,2001,46.82
Japan,JPN,2002,46.05
Japan,JPN,2003,45.89
Japan,JPN,2004,46.12
Japan,JPN,2005,46.33
Japan,JPN,2006,46.58
Japan,JPN,2007,46.63
Japan,JPN,2008,46.55
Japan,JPN,2009,46.18
Japan,JPN,2010,46.17
Japan,JPN,2011,46.15
Japan,JPN,2012,46.14
Japan,JPN,2013,47
Japan,JPN,2014,47.57
Japan,JPN,2015,47.93
Japan,JPN,2016,48.84
Japan,JPN,2017,49.72
Japan,JPN,2018,51.24
Japan,JPN,2019,52.12
Japan,JPN,2020,51.83
Japan,JPN,2021,52.18
Jordan,JOR,1999,9.4
Jordan,JOR,2000,9.7
Jordan,JOR,2001,9.3
Jordan,JOR,2002,9.6
Jordan,JOR,2003,8.9
Jordan,JOR,2004,8.7
Jordan,JOR,2005,8.7
Jordan,JOR,2006,8.9
Jordan,JOR,2007,11
Jordan,JOR,2008,10.8
Jordan,JOR,2009,11.3
Jordan,JOR,2010,11.5
Jordan,JOR,2011,11.6
Jordan,JOR,2012,11.3
Jordan,JOR,2013,10.3
Jordan,JOR,2014,10
Jordan,JOR,2017,12.31
Jordan,JOR,2018,11.08
Jordan,JOR,2019,10.16
Jordan,JOR,2020,10.95
Kazakhstan,KAZ,2002,57.64
Kazakhstan,KAZ,2003,58.24
Kazakhstan,KAZ,2004,58.38
Kazakhstan,KAZ,2008,61.38
Kazakhstan,KAZ,2020,60.3
Kenya,KEN,1999,61.04
Kenya,KEN,2005,50.88
Kenya,KEN,2006,50.88
Kenya,KEN,2016,69.36
Kenya,KEN,2019,59.59
Kiribati,KIR,2000,12.93
Kiribati,KIR,2005,16.65
Kiribati,KIR,2010,34.45
Kiribati,KIR,2015,31.68
Kiribati,KIR,2019,26.2
Kosovo,OWID_KOS,2002,8.8
Kosovo,OWID_KOS,2003,8.3
Kosovo,OWID_KOS,2004,9.9
Kosovo,OWID_KOS,2005,11.7
Kosovo,OWID_KOS,2006,11.8
Kosovo,OWID_KOS,2007,12.7
Kosovo,OWID_KOS,2008,10.5
Kosovo,OWID_KOS,2009,11.1
Kosovo,OWID_KOS,2012,9.67
Kosovo,OWID_KOS,2013,11.6
Kosovo,OWID_KOS,2014,11.12
Kosovo,OWID_KOS,2015,10.17
Kosovo,OWID_KOS,2016,11.12
Kosovo,OWID_KOS,2017,10.93
Kosovo,OWID_KOS,2018,11.45
Kosovo,OWID_KOS,2019,12.18
Kosovo,OWID_KOS,2020,12.31
Kuwait,KWT,1983,23.73
Kuwait,KWT,1988,33.53
Kuwait,KWT,1997,33.04
Kuwait,KWT,2003,45.63
Kuwait,KWT,2005,45.03
Kuwait,KWT,2006,53.9
Kuwait,KWT,2007,55.1
Kuwait,KWT,2009,54.06
Kuwait,KWT,2010,57.8
Kuwait,KWT,2015,54.5
Kuwait,KWT,2016,46.98
Kyrgyzstan,KGZ,2002,47.4
Kyrgyzstan,KGZ,2009,47.9
Kyrgyzstan,KGZ,2010,47.2
Kyrgyzstan,KGZ,2011,47.63
Kyrgyzstan,KGZ,2012,46.88
Kyrgyzstan,KGZ,2013,44.44
Kyrgyzstan,KGZ,2014,45.59
Kyrgyzstan,KGZ,2015,45.41
Kyrgyzstan,KGZ,2016,44.09
Kyrgyzstan,KGZ,2017,41.79
Kyrgyzstan,KGZ,2018,50.03
Kyrgyzstan,KGZ,2019,49.42
Kyrgyzstan,KGZ,2020,50.39
Kyrgyzstan,KGZ,2021,50.23
Laos,LAO,1995,69.5
Laos,LAO,2003,92.89
Laos,LAO,2005,65.4
Laos,LAO,2010,76.15
Laos,LAO,2017,54.55
Latin America and Caribbean (WB),,1992,42.14793
Latin America and Caribbean (WB),,1993,44.144928
Latin America and Caribbean (WB),,1995,40.788795
Latin America and Caribbean (WB),,1996,40.072067
Latin America and Caribbean (WB),,1997,41.398003
Latin America and Caribbean (WB),,1998,41.639896
Latin America and Caribbean (WB),,1999,42.30812
Latin America and Caribbean (WB),,2001,43.441048
Latin America and Caribbean (WB),,2002,44.068058
Latin America and Caribbean (WB),,2003,44.092598
Latin America and Caribbean (WB),,2004,45.054478
Latin America and Caribbean (WB),,2005,45.86371
Latin America and Caribbean (WB),,2006,46.79936
Latin America and Caribbean (WB),,2007,46.395588
Latin America and Caribbean (WB),,2008,47.08704
Latin America and Caribbean (WB),,2009,47.237972
Latin America and Caribbean (WB),,2011,46.76703
Latin America and Caribbean (WB),,2012,47.259586
Latin America and Caribbean (WB),,2013,47.402378
Latin America and Caribbean (WB),,2014,47.088825
Latin America and Caribbean (WB),,2015,47.09179
Latin America and Caribbean (WB),,2016,46.639492
Latin America and Caribbean (WB),,2017,46.79369
Latin America and Caribbean (WB),,2018,47.121353
Latin America and Caribbean (WB),,2019,47.610733
Latin America and Caribbean (WB),,2020,42.42671
Latin America and Caribbean (WB),,2021,45.09505
Latvia,LVA,1998,44.68
Latvia,LVA,1999,43.24
Latvia,LVA,2000,42.46
Latvia,LVA,2001,43.96
Latvia,LVA,2002,44.83
Latvia,LVA,2003,44.74
Latvia,LVA,2004,44.52
Latvia,LVA,2005,45.63
Latvia,LVA,2006,48.71
Latvia,LVA,2007,50.16
Latvia,LVA,2008,51.11
Latvia,LVA,2009,46.82
Latvia,LVA,2010,45.13
Latvia,LVA,2011,45.74
Latvia,LVA,2012,46.76
Latvia,LVA,2013,48.02
Latvia,LVA,2014,48.18
Latvia,LVA,2015,49.44
Latvia,LVA,2016,50.37
Latvia,LVA,2017,50.95
Latvia,LVA,2018,52.23
Latvia,LVA,2019,52.66
Latvia,LVA,2020,52.07
Latvia,LVA,2021,50.77
Lebanon,LBN,1997,18.8
Lebanon,LBN,2004,18.43
Lebanon,LBN,2007,18.98
Lebanon,LBN,2019,25.15
Lesotho,LSO,1986,27.3
Lesotho,LSO,1997,24.8
Lesotho,LSO,1999,48.31
Lesotho,LSO,2008,24.53
Lesotho,LSO,2013,41.73
Lesotho,LSO,2019,39.58
Liberia,LBR,2007,65.34
Liberia,LBR,2010,53.44
Liberia,LBR,2014,69.99
Liberia,LBR,2016,70.45
Liberia,LBR,2017,41.05
Libya,LBY,2012,25.3
Liechtenstein,LIE,2000,50.58
Liechtenstein,LIE,2001,50.31
Liechtenstein,LIE,2002,49.42
Liechtenstein,LIE,2003,49.5
Liechtenstein,LIE,2004,49.45
Liechtenstein,LIE,2005,49.35
Liechtenstein,LIE,2006,49.82
Liechtenstein,LIE,2007,50.9
Liechtenstein,LIE,2008,51.34
Liechtenstein,LIE,2009,50.89
Liechtenstein,LIE,2010,50.77
Liechtenstein,LIE,2011,52.93
Liechtenstein,LIE,2012,52.39
Liechtenstein,LIE,2013,51.9
Liechtenstein,LIE,2014,51.78
Liechtenstein,LIE,2015,52.08
Liechtenstein,LIE,2016,51.9
Liechtenstein,LIE,2017,52.1
Lithuania,LTU,1997,46.4
Lithuania,LTU,1998,47.1
Lithuania,LTU,1999,48.48
Lithuania,LTU,2000,47.49
Lithuania,LTU,2001,46.02
Lithuania,LTU,2002,45.89
Lithuania,LTU,2003,47.77
Lithuania,LTU,2004,45.78
Lithuania,LTU,2005,46.43
Lithuania,LTU,2006,47.38
Lithuania,LTU,2007,48.03
Lithuania,LTU,2008,47.67
Lithuania,LTU,2009,46.56
Lithuania,LTU,2010,44.9
Lithuania,LTU,2011,45.9
Lithuania,LTU,2012,47.04
Lithuania,LTU,2013,47.4
Lithuania,LTU,2014,48.91
Lithuania,LTU,2015,50
Lithuania,LTU,2016,51.95
Lithuania,LTU,2017,52.66
Lithuania,LTU,2018,53.47
Lithuania,LTU,2019,54.12
Lithuania,LTU,2020,52.93
Lithuania,LTU,2021,53.56
Lower-middle-income countries,,2000,35.010567
Lower-middle-income countries,,2010,34.002293
Lower-middle-income countries,,2012,33.753376
Lower-middle-income countries,,2018,28.122782
Lower-middle-income countries,,2019,32.167137
Luxembourg,LUX,1983,31.34
Luxembourg,LUX,1984,31.88
Luxembourg,LUX,1985,33.42
Luxembourg,LUX,1986,33.38
Luxembourg,LUX,1987,34.28
Luxembourg,LUX,1988,33.33
Luxembourg,LUX,1989,33.7
Luxembourg,LUX,1990,32.81
Luxembourg,LUX,1991,35.12
Luxembourg,LUX,1992,37.98
Luxembourg,LUX,1993,36.39
Luxembourg,LUX,1994,36.71
Luxembourg,LUX,1995,34.29
Luxembourg,LUX,1996,35.3
Luxembourg,LUX,1997,36.75
Luxembourg,LUX,1998,36.9
Luxembourg,LUX,1999,39.36
Luxembourg,LUX,2000,40.07
Luxembourg,LUX,2001,41.47
Luxembourg,LUX,2002,41.93
Luxembourg,LUX,2003,41.6
Luxembourg,LUX,2004,42.19
Luxembourg,LUX,2005,43.65
Luxembourg,LUX,2006,46.3
Luxembourg,LUX,2007,48
Luxembourg,LUX,2008,45.16
Luxembourg,LUX,2009,46.84
Luxembourg,LUX,2010,47.25
Luxembourg,LUX,2011,47.11
Luxembourg,LUX,2012,48.82
Luxembourg,LUX,2013,49.14
Luxembourg,LUX,2014,50.36
Luxembourg,LUX,2015,50.55
Luxembourg,LUX,2016,49.97
Luxembourg,LUX,2017,51.94
Luxembourg,LUX,2018,52.52
Luxembourg,LUX,2019,52.74
Luxembourg,LUX,2020,53.04
Luxembourg,LUX,2021,54.87
Macao,MAC,1992,46.58
Macao,MAC,1993,46.86
Macao,MAC,1994,47.09
Macao,MAC,1995,47.62
Macao,MAC,1997,52.53
Macao,MAC,1998,51.82
Macao,MAC,2000,54.05
Macao,MAC,2003,51.51
Macao,MAC,2004,52.93
Macao,MAC,2005,54.56
Macao,MAC,2006,56.42
Macao,MAC,2007,59.52
Macao,MAC,2008,61.94
Macao,MAC,2009,64.51
Macao,MAC,2010,64.71
Macao,MAC,2011,66.01
Macao,MAC,2012,65.66
Macao,MAC,2013,66.57
Macao,MAC,2014,67.19
Macao,MAC,2015,66.96
Macao,MAC,2016,66.33
Madagascar,MDG,2001,74.37
Madagascar,MDG,2003,83.8
Madagascar,MDG,2005,90.77
Madagascar,MDG,2010,59.4
Madagascar,MDG,2012,90.74
Madagascar,MDG,2015,82.08
Malawi,MWI,1983,90.07
Malawi,MWI,1987,63.7
Malawi,MWI,1998,77.91
Malawi,MWI,2004,83.3
Malawi,MWI,2005,77.49
Malawi,MWI,2011,67.52
Malawi,MWI,2013,68.53
Malawi,MWI,2017,60.89
Malawi,MWI,2020,62.56
Malaysia,MYS,1982,42.44
Malaysia,MYS,1983,43.59
Malaysia,MYS,1984,42.36
Malaysia,MYS,1985,42.82
Malaysia,MYS,1986,42.63
Malaysia,MYS,1987,43.59
Malaysia,MYS,1988,43.74
Malaysia,MYS,1989,43.69
Malaysia,MYS,1990,45.17
Malaysia,MYS,1992,44.97
Malaysia,MYS,1993,44.29
Malaysia,MYS,1995,42.99
Malaysia,MYS,1996,45.54
Malaysia,MYS,1997,44.65
Malaysia,MYS,1998,42.91
Malaysia,MYS,1999,43.2
Malaysia,MYS,2000,46.11
Malaysia,MYS,2001,45.05
Malaysia,MYS,2002,44.93
Malaysia,MYS,2003,45.99
Malaysia,MYS,2004,45.44
Malaysia,MYS,2005,44.22
Malaysia,MYS,2011,46.43
Malaysia,MYS,2014,51.95
Malaysia,MYS,2015,52.27
Malaysia,MYS,2016,52.18
Malaysia,MYS,2017,52.8
Malaysia,MYS,2018,53.23
Malaysia,MYS,2019,53.72
Malaysia,MYS,2020,52.75
Maldives,MDV,1990,20.26
Maldives,MDV,1995,27.93
Maldives,MDV,2000,36.83
Maldives,MDV,2009,32.94
Maldives,MDV,2010,28.8
Maldives,MDV,2014,45.41
Maldives,MDV,2016,41.17
Maldives,MDV,2019,48.62
Mali,MLI,1997,23.9
Mali,MLI,2004,32.78
Mali,MLI,2006,60.8
Mali,MLI,2007,67.43
Mali,MLI,2009,4.71
Mali,MLI,2010,44.78
Mali,MLI,2013,65.33
Mali,MLI,2014,56.89
Mali,MLI,2015,56.36
Mali,MLI,2016,49.3
Mali,MLI,2017,53.68
Mali,MLI,2018,50.79
Mali,MLI,2020,49.71
Malta,MLT,2000,27.77
Malta,MLT,2001,27.17
Malta,MLT,2002,28.39
Malta,MLT,2003,27.74
Malta,MLT,2004,26.22
Malta,MLT,2005,27.75
Malta,MLT,2006,27.91
Malta,MLT,2007,29.79
Malta,MLT,2008,31.19
Malta,MLT,2009,31.4
Malta,MLT,2010,32.29
Malta,MLT,2011,33.49
Malta,MLT,2012,36.28
Malta,MLT,2013,38.67
Malta,MLT,2014,40.63
Malta,MLT,2015,41.19
Malta,MLT,2016,42.88
Malta,MLT,2017,44.83
Malta,MLT,2018,47.85
Malta,MLT,2019,49.21
Malta,MLT,2020,50.5
Malta,MLT,2021,51.86
Marshall Islands,MHL,1980,26.47
Marshall Islands,MHL,1999,22.22
Marshall Islands,MHL,2011,27.74
Marshall Islands,MHL,2019,26.71
Mauritania,MRT,1988,41.02
Mauritania,MRT,2012,24.56
Mauritania,MRT,2017,24.1
Mauritania,MRT,2019,25.36
Mauritius,MUS,1995,33.57
Mauritius,MUS,1996,33.5
Mauritius,MUS,1997,33.8
Mauritius,MUS,1998,34.9
Mauritius,MUS,1999,35.1
Mauritius,MUS,2001,32.5
Mauritius,MUS,2002,33.92
Mauritius,MUS,2003,37.85
Mauritius,MUS,2004,34.96
Mauritius,MUS,2005,34.99
Mauritius,MUS,2006,35.33
Mauritius,MUS,2007,34.91
Mauritius,MUS,2008,36.42
Mauritius,MUS,2009,36.96
Mauritius,MUS,2010,37.99
Mauritius,MUS,2011,37.61
Mauritius,MUS,2012,37.89
Mauritius,MUS,2013,39.83
Mauritius,MUS,2014,40.17
Mauritius,MUS,2015,41.25
Mauritius,MUS,2016,40.43
Mauritius,MUS,2017,40.81
Mauritius,MUS,2018,40.89
Mauritius,MUS,2019,41.49
Mauritius,MUS,2020,52.35
Mauritius,MUS,2021,34.68
Mexico,MEX,1991,34.15
Mexico,MEX,1992,35.06
Mexico,MEX,1993,37.28
Mexico,MEX,1994,36.22
Mexico,MEX,1995,36
Mexico,MEX,1996,36.78
Mexico,MEX,1997,39.08
Mexico,MEX,1998,39.3
Mexico,MEX,1999,39.13
Mexico,MEX,2000,39.61
Mexico,MEX,2001,39.01
Mexico,MEX,2002,36.68
Mexico,MEX,2003,37.04
Mexico,MEX,2004,37.83
Mexico,MEX,2005,39.31
Mexico,MEX,2006,40.47
Mexico,MEX,2007,40.74
Mexico,MEX,2008,40.56
Mexico,MEX,2009,40.47
Mexico,MEX,2010,40.31
Mexico,MEX,2011,40.64
Mexico,MEX,2012,41.7
Mexico,MEX,2013,41.7
Mexico,MEX,2014,40.95
Mexico,MEX,2015,41.41
Mexico,MEX,2016,41.69
Mexico,MEX,2017,41.4
Mexico,MEX,2018,42.06
Mexico,MEX,2019,43.19
Mexico,MEX,2020,39.26
Mexico,MEX,2021,41.82
Micronesia (country),FSM,2014,39.78
Middle East and North Africa (WB),,2008,16.916174
Middle East and North Africa (WB),,2009,16.060196
Middle East and North Africa (WB),,2010,16.221743
Middle East and North Africa (WB),,2014,15.003068
Middle East and North Africa (WB),,2015,17.4928
Middle East and North Africa (WB),,2016,17.251112
Middle East and North Africa (WB),,2017,16.555393
Moldova,MDA,2000,52.23
Moldova,MDA,2001,51.43
Moldova,MDA,2002,51.71
Moldova,MDA,2003,53.24
Moldova,MDA,2004,51.95
Moldova,MDA,2005,52.51
Moldova,MDA,2006,55.53
Moldova,MDA,2007,57.72
Moldova,MDA,2008,58.2
Moldova,MDA,2009,58.51
Moldova,MDA,2010,61.29
Moldova,MDA,2011,62.97
Moldova,MDA,2012,64.22
Moldova,MDA,2013,64.61
Moldova,MDA,2014,68.45
Moldova,MDA,2015,68.46
Moldova,MDA,2016,68.23
Moldova,MDA,2017,66.5
Moldova,MDA,2018,65.69
Moldova,MDA,2019,67.5
Moldova,MDA,2020,67.38
Moldova,MDA,2021,70.24
Monaco,MCO,2016,39.22
Mongolia,MNG,1998,51.82
Mongolia,MNG,2000,46.3
Mongolia,MNG,2002,34.71
Mongolia,MNG,2003,52.5
Mongolia,MNG,2004,55.32
Mongolia,MNG,2005,54.3
Mongolia,MNG,2006,62.03
Mongolia,MNG,2007,51.7
Mongolia,MNG,2008,51.27
Mongolia,MNG,2009,50.53
Mongolia,MNG,2010,51.06
Mongolia,MNG,2011,52.59
Mongolia,MNG,2012,53.72
Mongolia,MNG,2013,51.6
Mongolia,MNG,2014,52.1
Mongolia,MNG,2015,51.73
Mongolia,MNG,2016,49.8
Mongolia,MNG,2017,50.9
Mongolia,MNG,2018,49.64
Mongolia,MNG,2019,51.4
Mongolia,MNG,2020,50.42
Mongolia,MNG,2021,47.72
Montenegro,MNE,2007,34.8
Montenegro,MNE,2008,36.1
Montenegro,MNE,2009,34.4
Montenegro,MNE,2010,33.44
Montenegro,MNE,2011,33.65
Montenegro,MNE,2012,34.62
Montenegro,MNE,2013,35.41
Montenegro,MNE,2014,37.79
Montenegro,MNE,2015,39.4
Montenegro,MNE,2016,39.45
Montenegro,MNE,2017,39.41
Montenegro,MNE,2018,40.82
Montenegro,MNE,2019,42.08
Montenegro,MNE,2020,37.87
Morocco,MAR,1990,20.95
Morocco,MAR,1995,21.86
Morocco,MAR,1998,17.25
Morocco,MAR,1999,25.98
Morocco,MAR,2000,25.3
Morocco,MAR,2001,22.05
Morocco,MAR,2002,21.62
Morocco,MAR,2003,23.48
Morocco,MAR,2004,25.11
Morocco,MAR,2005,25
Morocco,MAR,2006,18.55
Morocco,MAR,2007,25.6
Morocco,MAR,2008,24.8
Morocco,MAR,2009,17.48
Morocco,MAR,2010,23.43
Morocco,MAR,2011,22.88
Morocco,MAR,2012,22.28
Morocco,MAR,2013,22.71
Morocco,MAR,2014,22.65
Morocco,MAR,2015,22.21
Morocco,MAR,2016,21.19
Morocco,MAR,2021,17.4
Mozambique,MOZ,2015,75.28
Myanmar,MMR,2015,51.14
Myanmar,MMR,2017,47.65
Myanmar,MMR,2018,48.81
Myanmar,MMR,2019,46.92
Myanmar,MMR,2020,44.66
Namibia,NAM,1991,33.5
Namibia,NAM,1994,37.96
Namibia,NAM,1997,37.1
Namibia,NAM,2000,37.4
Namibia,NAM,2001,31.6
Namibia,NAM,2004,30.64
Namibia,NAM,2008,28.4
Namibia,NAM,2010,41.9
Namibia,NAM,2012,43.06
Namibia,NAM,2013,46.53
Namibia,NAM,2014,45.56
Namibia,NAM,2016,41.72
Namibia,NAM,2018,45.11
Nauru,NRU,2013,46.07
Nepal,NPL,1996,63.7
Nepal,NPL,1999,80.51
Nepal,NPL,2003,93
Nepal,NPL,2008,78.74
Nepal,NPL,2013,74.9
Nepal,NPL,2014,76.4
Nepal,NPL,2017,24.56
Netherlands,NLD,1977,25.45
Netherlands,NLD,1979,26.41
Netherlands,NLD,1980,27.52
Netherlands,NLD,1981,28.74
Netherlands,NLD,1982,28.76
Netherlands,NLD,1983,29.34
Netherlands,NLD,1985,30.48
Netherlands,NLD,1986,29.77
Netherlands,NLD,1987,35.67
Netherlands,NLD,1988,36.51
Netherlands,NLD,1989,37.26
Netherlands,NLD,1990,39.11
Netherlands,NLD,1991,40.36
Netherlands,NLD,1992,42.51
Netherlands,NLD,1993,42.96
Netherlands,NLD,1994,43.85
Netherlands,NLD,1995,44.12
Netherlands,NLD,1996,45.29
Netherlands,NLD,1997,47.02
Netherlands,NLD,1998,48.48
Netherlands,NLD,1999,50.47
Netherlands,NLD,2000,52.27
Netherlands,NLD,2001,53.72
Netherlands,NLD,2002,54.27
Netherlands,NLD,2003,54.33
Netherlands,NLD,2004,54.06
Netherlands,NLD,2005,51.77
Netherlands,NLD,2006,52.69
Netherlands,NLD,2007,54.41
Netherlands,NLD,2008,55.73
Netherlands,NLD,2009,55.9
Netherlands,NLD,2010,55.45
Netherlands,NLD,2011,55.58
Netherlands,NLD,2012,55.6
Netherlands,NLD,2013,54.91
Netherlands,NLD,2014,53.93
Netherlands,NLD,2015,54.52
Netherlands,NLD,2016,54.86
Netherlands,NLD,2017,55.71
Netherlands,NLD,2018,56.76
Netherlands,NLD,2019,57.8
Netherlands,NLD,2020,57.51
Netherlands,NLD,2021,59.95
New Caledonia,NCL,1996,32.61
New Caledonia,NCL,2004,40.78
New Caledonia,NCL,2009,51.25
New Caledonia,NCL,2014,49.72
New Caledonia,NCL,2019,47.19
New Caledonia,NCL,2020,46.49
New Zealand,NZL,1986,51.96
New Zealand,NZL,1987,52.41
New Zealand,NZL,1988,51.11
New Zealand,NZL,1989,49.22
New Zealand,NZL,1990,49.95
New Zealand,NZL,1991,48.99
New Zealand,NZL,1992,48.75
New Zealand,NZL,1993,49.09
New Zealand,NZL,1994,50.74
New Zealand,NZL,1995,52.2
New Zealand,NZL,1996,53.58
New Zealand,NZL,1997,53.16
New Zealand,NZL,1998,52.64
New Zealand,NZL,1999,53.44
New Zealand,NZL,2000,53.98
New Zealand,NZL,2001,55.12
New Zealand,NZL,2002,55.77
New Zealand,NZL,2003,56.27
New Zealand,NZL,2004,57.07
New Zealand,NZL,2005,58.27
New Zealand,NZL,2006,58.71
New Zealand,NZL,2007,59.27
New Zealand,NZL,2008,59.38
New Zealand,NZL,2009,58.25
New Zealand,NZL,2010,57.6
New Zealand,NZL,2011,58.15
New Zealand,NZL,2012,57.88
New Zealand,NZL,2013,58.44
New Zealand,NZL,2014,59.51
New Zealand,NZL,2015,59.67
New Zealand,NZL,2016,61.06
New Zealand,NZL,2017,62.09
New Zealand,NZL,2018,62.79
New Zealand,NZL,2019,62.9
New Zealand,NZL,2020,61.93
New Zealand,NZL,2021,63.54
Nicaragua,NIC,2001,42.8
Nicaragua,NIC,2002,41.5
Nicaragua,NIC,2003,43.19
Nicaragua,NIC,2004,42.27
Nicaragua,NIC,2005,43.88
Nicaragua,NIC,2006,42.34
Nicaragua,NIC,2007,41.05
Nicaragua,NIC,2012,62.85
Nicaragua,NIC,2013,61.23
Nicaragua,NIC,2014,45.35
Niger,NER,2001,43.89
Niger,NER,2005,29.29
Niger,NER,2011,69.04
Niger,NER,2012,19.5
Niger,NER,2014,62.7
Niger,NER,2017,13.89
Nigeria,NGA,1983,35.22
Nigeria,NGA,1986,33.48
Nigeria,NGA,2003,47.4
Nigeria,NGA,2011,54.8
Nigeria,NGA,2013,54.52
Nigeria,NGA,2019,45.63
North America (WB),,1960,35.5
North America (WB),,1961,35.4
North America (WB),,1962,35.6
North America (WB),,1963,35.8
North America (WB),,1964,36.3
North America (WB),,1965,37.1
North America (WB),,1966,38.3
North America (WB),,1967,39
North America (WB),,1968,39.6
North America (WB),,1969,40.7
North America (WB),,1970,40.8
North America (WB),,1971,40.4
North America (WB),,1972,41
North America (WB),,1973,42
North America (WB),,1974,42.6
North America (WB),,1975,42
North America (WB),,1976,43.083015
North America (WB),,1977,44.29052
North America (WB),,1978,46.113804
North America (WB),,1979,47.272636
North America (WB),,1980,47.57565
North America (WB),,1981,47.97328
North America (WB),,1982,47.587864
North America (WB),,1983,47.888546
North America (WB),,1984,49.325687
North America (WB),,1985,50.27649
North America (WB),,1986,51.291687
North America (WB),,1987,52.37942
North America (WB),,1988,53.333492
North America (WB),,1989,54.230816
North America (WB),,1990,54.247303
North America (WB),,1991,53.607414
North America (WB),,1992,53.614727
North America (WB),,1993,53.84191
North America (WB),,1994,54.958916
North America (WB),,1995,55.35476
North America (WB),,1996,55.7036
North America (WB),,1997,56.438644
North America (WB),,1998,56.74468
North America (WB),,1999,57.149597
North America (WB),,2000,57.27646
North America (WB),,2001,56.865845
North America (WB),,2002,56.309113
North America (WB),,2003,56.263744
North America (WB),,2004,56.148247
North America (WB),,2005,56.384228
North America (WB),,2006,56.770542
North America (WB),,2007,56.87676
North America (WB),,2008,56.53086
North America (WB),,2009,54.791565
North America (WB),,2010,54.014023
North America (WB),,2011,53.661343
North America (WB),,2012,53.618362
North America (WB),,2013,53.665257
North America (WB),,2014,53.94272
North America (WB),,2015,54.115032
North America (WB),,2016,54.42928
North America (WB),,2017,54.92264
North America (WB),,2018,55.20905
North America (WB),,2019,55.661606
North America (WB),,2020,51.76531
North America (WB),,2021,53.496605
North Macedonia,MKD,1996,30.7
North Macedonia,MKD,1997,27.9
North Macedonia,MKD,1998,29.8
North Macedonia,MKD,2001,30.94
North Macedonia,MKD,2002,28.07
North Macedonia,MKD,2003,27.65
North Macedonia,MKD,2005,26.48
North Macedonia,MKD,2006,26.04
North Macedonia,MKD,2007,27.46
North Macedonia,MKD,2008,27.92
North Macedonia,MKD,2009,28.58
North Macedonia,MKD,2010,27.34
North Macedonia,MKD,2011,30
North Macedonia,MKD,2012,29.72
North Macedonia,MKD,2013,31.26
North Macedonia,MKD,2014,31.02
North Macedonia,MKD,2015,32.37
North Macedonia,MKD,2016,32.56
North Macedonia,MKD,2017,33.13
North Macedonia,MKD,2018,33.67
North Macedonia,MKD,2019,36.34
North Macedonia,MKD,2020,36.62
North Macedonia,MKD,2021,36.57
Northern Mariana Islands,MNP,1985,40.42
Northern Mariana Islands,MNP,2003,77.84
Northern Mariana Islands,MNP,2010,57.88
Norway,NOR,1980,53.97
Norway,NOR,1981,54.87
Norway,NOR,1982,54.76
Norway,NOR,1983,55.44
Norway,NOR,1984,56.26
Norway,NOR,1985,57.65
Norway,NOR,1986,60.71
Norway,NOR,1987,62.12
Norway,NOR,1988,61.58
Norway,NOR,1989,59.48
Norway,NOR,1990,59.39
Norway,NOR,1991,59.22
Norway,NOR,1992,59.07
Norway,NOR,1993,59.04
Norway,NOR,1994,59.74
Norway,NOR,1995,60.45
Norway,NOR,1996,62.58
Norway,NOR,1997,64.35
Norway,NOR,1998,66.39
Norway,NOR,1999,67
Norway,NOR,2000,66.95
Norway,NOR,2001,66.99
Norway,NOR,2002,67.59
Norway,NOR,2003,66.38
Norway,NOR,2004,66.38
Norway,NOR,2005,65.64
Norway,NOR,2006,65.98
Norway,NOR,2007,67.71
Norway,NOR,2008,68.93
Norway,NOR,2009,67.92
Norway,NOR,2010,66.62
Norway,NOR,2011,66.58
Norway,NOR,2012,66.64
Norway,NOR,2013,66.12
Norway,NOR,2014,60.78
Norway,NOR,2015,59.76
Norway,NOR,2016,59.63
Norway,NOR,2017,59.17
Norway,NOR,2018,59.57
Norway,NOR,2019,60.01
Norway,NOR,2020,59.44
Norway,NOR,2021,58.5
Oman,OMN,2000,7.62
Oman,OMN,2008,22.86
Oman,OMN,2010,23.84
Oman,OMN,2016,25.68
Oman,OMN,2017,33.49
Oman,OMN,2018,33.03
Oman,OMN,2019,33.38
Oman,OMN,2020,34.98
Oman,OMN,2021,28.9
Pakistan,PAK,1985,10.16
Pakistan,PAK,1986,10.99
Pakistan,PAK,1988,12.42
Pakistan,PAK,1989,10.1
Pakistan,PAK,1990,12.01
Pakistan,PAK,1991,12.3
Pakistan,PAK,1992,14.13
Pakistan,PAK,1993,13.65
